-- phpMyAdmin SQL Dump
-- version 2.11.7
-- http://www.phpmyadmin.net
--
-- Host: localhost
-- Generation Time: Jul 10, 2008 at 12:20 PM
-- Server version: 5.0.58
-- PHP Version: 5.2.6

SET SQL_MODE="NO_AUTO_VALUE_ON_ZERO";

--
-- Database: `bender1`
--

-- --------------------------------------------------------

--
-- Table structure for table `tbl`
--

CREATE TABLE IF NOT EXISTS `tbl` (
  `id` int(11) NOT NULL auto_increment,
  `ti` int(11) NOT NULL,
  `os` tinyint(4) NOT NULL,
  `br` tinyint(4) NOT NULL,
  `cn` smallint(6) NOT NULL,
  `ip` int(11) NOT NULL,
  `ok` tinyint(4) NOT NULL,
  `sp` tinyint(4) NOT NULL default '0',
  `ma` tinyint(4) NOT NULL default '0',
  `mi` tinyint(4) NOT NULL default '0',
  UNIQUE KEY `ip` (`ip`),
  KEY `id` (`id`)
) ENGINE=MyISAM  DEFAULT CHARSET=latin1 AUTO_INCREMENT=15754 ;

--
-- Dumping data for table `tbl`
--

INSERT INTO `tbl` (`id`, `ti`, `os`, `br`, `cn`, `ip`, `ok`, `sp`, `ma`, `mi`) VALUES
(23, 1215483434, 2, 2, 225, 1123636548, 1, 3, 6, 0),
(24, 1215483459, 2, 3, 0, -1062731432, 0, 0, 2, 15),
(25, 1215483471, 3, 2, 67, 1474134220, 0, 0, 6, 0),
(26, 1215483475, 3, 2, 99, -709727144, 0, 0, 7, 0),
(27, 1215483485, 2, 1, 185, 1475094778, 0, 0, 9, 25),
(28, 1215483486, 3, 2, 67, 1396393336, 0, 0, 6, 0),
(29, 1215483501, 2, 2, 187, 1350295826, 0, 0, 7, 0),
(30, 1215483553, 3, 2, 103, -589178899, 0, 0, 6, 0),
(31, 1215483564, 3, 2, 210, 1966030347, 0, 0, 6, 0),
(32, 1215483565, 3, 2, 56, 1351406554, 0, 0, 6, 0),
(33, 1215483568, 2, 2, 63, 1384333191, 0, 0, 7, 0),
(34, 1215483574, 2, 2, 103, 2057327461, 1, 4, 6, 0),
(35, 1215483576, 2, 2, 67, 1335451948, 0, 0, 7, 0),
(36, 1215483578, 5, 2, 217, 1433288651, 0, 0, 7, 0),
(37, 1215483587, 3, 2, 67, 1475030358, 0, 0, 6, 0),
(38, 1215483589, 3, 2, 0, -1062731335, 1, 2, 6, 0),
(39, 1215483591, 2, 3, 103, 2058032126, 0, 0, 2, 15),
(40, 1215483594, 2, 2, 0, -1062721376, 1, 2, 6, 0),
(41, 1215483642, 2, 2, 67, 1386168361, 0, 0, 7, 0),
(42, 1215483651, 3, 2, 67, 1477079860, 0, 0, 6, 0),
(43, 1215483659, 2, 2, 56, 1418293644, 0, 0, 7, 0),
(44, 1215483664, 5, 2, 210, -896612100, 0, 0, 7, 0),
(45, 1215483666, 3, 2, 103, 996189712, 1, 3, 6, 0),
(46, 1215483675, 3, 2, 48, 2071788036, 0, 0, 6, 0),
(47, 1215483677, 2, 2, 61, 702353704, 0, 0, 7, 0),
(48, 1215483687, 2, 2, 122, 1546597477, 0, 0, 7, 0),
(49, 1215483690, 3, 2, 56, 1300659394, 0, 0, 6, 0),
(50, 1215483691, 2, 2, 77, 1365976756, 0, 0, 7, 0),
(51, 1215483705, 3, 2, 152, -1112791796, 0, 0, 6, 0),
(52, 1215483708, 3, 2, 102, 1337040335, 1, 2, 6, 0),
(53, 1215483712, 3, 2, 0, 167911682, 0, 0, 6, 0),
(54, 1215483723, 2, 2, 67, 1395098735, 0, 0, 7, 0),
(55, 1215483743, 2, 2, 162, 1482378763, 0, 0, 7, 0),
(56, 1215483760, 3, 2, 108, 1382779475, 0, 0, 6, 0),
(57, 1215483769, 2, 2, 185, 1509556756, 0, 0, 7, 0),
(58, 1215483786, 2, 2, 94, -876153115, 0, 0, 7, 0),
(59, 1215483802, 3, 2, 16, 2092246548, 0, 0, 6, 0),
(60, 1215483805, 2, 2, 67, -728642416, 0, 0, 7, 0),
(61, 1215483809, 2, 2, 56, 1338460837, 0, 0, 7, 0),
(62, 1215483809, 5, 4, 16, 2091400512, 0, 0, 0, 0),
(63, 1215483813, 2, 3, 222, -644636322, 0, 0, 2, 15),
(64, 1215483818, 2, 1, 222, 1401941656, 0, 0, 9, 23),
(65, 1215483832, 2, 1, 185, 1475941637, 0, 0, 9, 51),
(66, 1215483833, 3, 2, 56, 1310884534, 0, 0, 6, 0),
(67, 1215483853, 3, 2, 185, -1027993895, 0, 0, 6, 0),
(68, 1215483875, 2, 2, 67, 1334991159, 0, 0, 7, 0),
(69, 1215483888, 3, 2, 67, 1361273352, 0, 0, 6, 0),
(70, 1215483905, 3, 2, 225, 1286733796, 0, 0, 6, 0),
(71, 1215483905, 3, 2, 108, 1460727266, 0, 0, 6, 0),
(72, 1215483905, 2, 4, 185, -643282262, 0, 0, 0, 0),
(73, 1215483907, 3, 2, 61, 701022695, 0, 0, 6, 0),
(74, 1215483918, 5, 2, 67, -727050830, 0, 0, 7, 0),
(75, 1215483923, 2, 2, 94, -630737670, 1, 2, 6, 0),
(76, 1215483938, 2, 2, 185, -644468239, 0, 0, 7, 0),
(77, 1215483940, 3, 2, 54, -720935966, 0, 0, 6, 0),
(78, 1215483944, 3, 2, 222, -1041361411, 1, 2, 6, 0),
(79, 1215483945, 2, 2, 210, 2098964030, 0, 0, 7, 0),
(80, 1215483950, 1, 2, 225, -1800306221, 0, 0, 6, 0),
(81, 1215483952, 3, 2, 67, 1395151666, 1, 5, 6, 0),
(82, 1215483961, 3, 2, 179, 1472528097, 0, 0, 6, 0),
(83, 1215483964, 2, 2, 94, 983086493, 0, 0, 6, 0),
(84, 1215483980, 5, 2, 77, 1452993315, 0, 0, 7, 0),
(85, 1215484009, 2, 3, 0, -1062731482, 0, 0, 2, 15),
(86, 1215484026, 2, 2, 74, 1537579381, 1, 2, 6, 0),
(87, 1215484029, 2, 1, 103, 995787023, 0, 0, 9, 27),
(88, 1215484032, 3, 2, 16, -588243516, 0, 0, 6, 0),
(89, 1215484035, 1, 2, 0, 0, 0, 0, 6, 0),
(90, 1215484042, 3, 2, 185, 1307054008, 1, 2, 6, 0),
(91, 1215484063, 2, 3, 185, -723752885, 0, 0, 2, 15),
(92, 1215484066, 3, 2, 67, 1344162798, 0, 0, 6, 0),
(93, 1215484071, 2, 2, 162, 1356072059, 0, 0, 7, 0),
(94, 1215484077, 3, 2, 22, 1538367643, 0, 0, 6, 0),
(95, 1215484078, 2, 1, 0, 167838001, 0, 0, 9, 24),
(96, 1215484078, 3, 2, 185, 1432053474, 1, 2, 6, 0),
(97, 1215484080, 3, 2, 222, 1503837818, 1, 2, 6, 0),
(98, 1215484086, 3, 2, 16, 2053859666, 0, 0, 6, 0),
(99, 1215484087, 3, 2, 54, -720947634, 0, 0, 6, 0),
(100, 1215484092, 3, 2, 79, 1490212547, 0, 0, 6, 0),
(101, 1215484094, 2, 1, 0, -1062718919, 1, 1, 9, 10),
(102, 1215484110, 2, 1, 185, 1049947225, 0, 0, 9, 1),
(103, 1215484112, 2, 1, 185, 1365233770, 0, 0, 9, 1),
(104, 1215484114, 3, 2, 67, 1346033191, 0, 0, 6, 0),
(105, 1215484116, 3, 2, 0, -1407253756, 1, 2, 6, 0),
(106, 1215484125, 3, 2, 63, 1431904318, 0, 0, 6, 0),
(107, 1215484131, 4, 2, 225, 1094151725, 0, 0, 7, 0),
(108, 1215484132, 2, 2, 185, 1509877174, 0, 0, 7, 0),
(109, 1215484154, 3, 2, 185, 1045720598, 0, 0, 6, 0),
(110, 1215484164, 3, 2, 79, -712820694, 1, 2, 6, 0),
(111, 1215484168, 3, 2, 0, -1408234696, 0, 0, 6, 0),
(112, 1215484172, 2, 2, 185, 1435270827, 0, 0, 6, 0),
(113, 1215484178, 3, 2, 31, -1119380606, 0, 0, 6, 0),
(114, 1215484201, 3, 2, 67, 1395203699, 0, 0, 6, 0),
(115, 1215484211, 3, 2, 185, 1358579138, 0, 0, 6, 0),
(116, 1215484212, 3, 2, 185, 1475721970, 0, 0, 6, 0),
(117, 1215484223, 3, 2, 0, 1486372463, 0, 0, 6, 0),
(118, 1215484226, 5, 2, 0, -1062731178, 0, 0, 7, 0),
(119, 1215484241, 2, 2, 102, 1416428568, 0, 0, 7, 0),
(120, 1215484246, 1, 2, 185, -1020366528, 1, 3, 6, 0),
(121, 1215484248, 3, 2, 64, 703071516, 0, 0, 6, 0),
(122, 1215484256, 2, 2, 161, -715266420, 0, 0, 7, 0),
(123, 1215484273, 2, 2, 185, -727798136, 0, 0, 7, 0),
(124, 1215484273, 2, 2, 185, 1360163742, 0, 0, 7, 0),
(125, 1215484275, 2, 2, 77, 1377185582, 0, 0, 7, 0),
(126, 1215484278, 2, 2, 48, -592989684, 0, 0, 7, 0),
(127, 1215484282, 3, 2, 100, 1023743007, 1, 2, 6, 0),
(128, 1215484290, 2, 2, 67, 1396247888, 0, 0, 7, 0),
(129, 1215484300, 3, 2, 13, -907371865, 0, 0, 6, 0),
(130, 1215484305, 2, 4, 185, 1435382921, 0, 0, 0, 0),
(131, 1215484309, 3, 2, 99, -1019704782, 0, 0, 6, 0),
(132, 1215484317, 2, 3, 185, 1505685220, 0, 0, 2, 14),
(133, 1215484326, 3, 2, 217, 1492288243, 1, 2, 6, 0),
(134, 1215484333, 3, 2, 185, -1007687462, 0, 0, 6, 0),
(135, 1215484337, 3, 2, 178, -720993255, 0, 0, 6, 0),
(136, 1215484347, 3, 2, 217, 1432953785, 1, 2, 6, 0),
(137, 1215484348, 4, 3, 185, 1373568793, 0, 0, 2, 13),
(138, 1215484353, 3, 2, 103, 2057506297, 0, 0, 6, 0),
(139, 1215484355, 2, 1, 0, -1062729033, 0, 0, 9, 24),
(140, 1215484360, 2, 2, 185, 1500317845, 0, 0, 7, 0),
(141, 1215484367, 2, 1, 222, 1299910136, 0, 0, 9, 26),
(142, 1215484370, 3, 2, 0, -1408212863, 0, 0, 6, 0),
(143, 1215484401, 2, 3, 111, -2060896105, 0, 0, 2, 15),
(144, 1215484408, 2, 2, 173, -896623444, 0, 0, 7, 0),
(145, 1215484447, 2, 2, 185, 1406898929, 0, 0, 7, 0),
(146, 1215484451, 2, 2, 67, 1414424364, 0, 0, 7, 0),
(147, 1215484457, 1, 2, 185, -709363006, 1, 2, 6, 0),
(148, 1215484459, 3, 2, 100, 2107952219, 1, 2, 6, 0),
(149, 1215484461, 1, 2, 233, 985366402, 1, 3, 5, 1),
(150, 1215484469, 3, 2, 187, 1314742622, 0, 0, 6, 0),
(151, 1215484480, 5, 2, 15, 1484076043, 0, 0, 7, 0),
(152, 1215484489, 2, 2, 185, 1507669315, 0, 0, 7, 0),
(153, 1215484503, 2, 2, 185, 1333672642, 0, 0, 6, 0),
(154, 1215484519, 3, 2, 56, 1464779277, 0, 0, 6, 0),
(155, 1215484524, 3, 2, 15, -710786374, 0, 0, 6, 0),
(156, 1215484534, 3, 2, 185, -646558100, 1, 2, 6, 0),
(157, 1215484536, 2, 2, 103, 2057550327, 1, 2, 6, 0),
(158, 1215484540, 2, 2, 67, 1477618210, 0, 0, 7, 0),
(159, 1215484542, 3, 2, 102, -728766543, 0, 0, 6, 0),
(160, 1215484549, 2, 2, 0, 167772214, 0, 0, 7, 0),
(161, 1215484554, 2, 2, 185, 1412649742, 0, 0, 7, 0),
(162, 1215484556, 2, 1, 185, 1402100514, 0, 0, 9, 22),
(163, 1215484564, 3, 2, 161, 1449082333, 0, 0, 6, 0),
(164, 1215484572, 3, 2, 74, 1487688995, 0, 0, 6, 0),
(165, 1215484582, 3, 2, 185, 1519900614, 0, 0, 6, 0),
(166, 1215484598, 2, 3, 222, -1041262183, 0, 0, 2, 15),
(167, 1215484598, 3, 2, 9, 1533483938, 1, 2, 6, 0),
(168, 1215484606, 2, 2, 185, 1360738254, 0, 0, 7, 0),
(169, 1215484614, 2, 2, 77, 1376831999, 1, 2, 6, 0),
(170, 1215484615, 2, 2, 191, 1365133942, 0, 0, 7, 0),
(171, 1215484616, 3, 2, 103, 2057314502, 0, 0, 6, 0),
(172, 1215484620, 2, 2, 67, 1395932184, 1, 2, 6, 0),
(173, 1215484621, 3, 2, 56, 1471671119, 0, 0, 6, 0),
(174, 1215484623, 5, 4, 185, 1410806083, 0, 0, 0, 0),
(175, 1215484625, 3, 2, 185, 1422689990, 0, 0, 6, 0),
(176, 1215484630, 2, 2, 67, 1344184397, 0, 0, 7, 0),
(177, 1215484633, 3, 2, 179, 1364463824, 0, 0, 6, 0),
(178, 1215484655, 3, 2, 67, 1344769309, 0, 0, 6, 0),
(179, 1215484662, 1, 2, 103, 2057564151, 1, 2, 6, 0),
(180, 1215484672, 2, 2, 108, 1325886883, 0, 0, 7, 0),
(181, 1215484674, 2, 2, 67, 1317561981, 0, 0, 6, 0),
(182, 1215484677, 3, 2, 99, 1370943666, 0, 0, 6, 0),
(183, 1215484680, 2, 1, 185, -735296714, 0, 0, 9, 25),
(184, 1215484688, 2, 2, 67, -728671493, 0, 0, 7, 0),
(185, 1215484690, 3, 2, 97, 1401102481, 0, 0, 6, 0),
(186, 1215484695, 2, 2, 0, -1408197885, 0, 0, 7, 0),
(187, 1215484709, 3, 2, 48, 2034514289, 0, 0, 6, 0),
(188, 1215484711, 2, 2, 77, -2131695163, 0, 0, 7, 0),
(189, 1215484712, 3, 2, 100, -562257268, 0, 0, 6, 0),
(190, 1215484716, 3, 2, 103, 1001532789, 0, 0, 6, 0),
(191, 1215484750, 3, 2, 38, -811525493, 0, 0, 6, 0),
(192, 1215484757, 3, 2, 191, 1524876024, 0, 0, 6, 0),
(193, 1215484763, 3, 2, 48, -605175188, 0, 0, 6, 0),
(194, 1215484767, 2, 2, 67, 1404361089, 0, 0, 7, 0),
(195, 1215484774, 3, 2, 233, 1984378567, 0, 0, 7, 0),
(196, 1215484782, 3, 2, 185, 1364778516, 0, 0, 6, 0),
(197, 1215484806, 3, 2, 185, 1408085654, 0, 0, 6, 0),
(198, 1215484822, 3, 2, 99, -704784636, 0, 0, 6, 0),
(199, 1215484827, 2, 2, 67, 1477853865, 0, 0, 7, 0),
(200, 1215484835, 2, 2, 74, 1375209189, 0, 0, 7, 0),
(201, 1215484839, 3, 2, 0, -1062724545, 0, 0, 6, 0),
(202, 1215484840, 3, 2, 99, 1409473385, 0, 0, 6, 0),
(203, 1215484858, 2, 2, 56, -638325822, 0, 0, 7, 0),
(204, 1215484897, 2, 2, 122, 1546617638, 0, 0, 7, 0),
(205, 1215484897, 2, 2, 94, -621140752, 0, 0, 6, 0),
(206, 1215484902, 2, 3, 185, 1307994329, 0, 0, 2, 15),
(207, 1215484907, 3, 2, 94, -630730962, 0, 0, 6, 0),
(208, 1215484908, 3, 2, 56, 1531160029, 0, 0, 6, 0),
(209, 1215484912, 2, 2, 222, -1054717326, 0, 0, 7, 0),
(210, 1215484923, 3, 2, 103, 1975988670, 0, 0, 6, 0),
(211, 1215484933, 3, 2, 161, 1397935163, 0, 0, 6, 0),
(212, 1215484946, 2, 2, 74, 1391854182, 0, 0, 7, 0),
(213, 1215484986, 3, 2, 108, 1328073806, 0, 0, 6, 0),
(214, 1215484987, 3, 2, 67, 1395947606, 1, 2, 6, 0),
(215, 1215484996, 3, 2, 185, 1055331606, 0, 0, 6, 0),
(216, 1215485009, 2, 3, 185, -710204391, 0, 0, 2, 15),
(217, 1215485030, 3, 2, 67, 1396120306, 0, 0, 6, 0),
(218, 1215485050, 3, 2, 94, -874855775, 0, 0, 6, 0),
(219, 1215485103, 3, 2, 0, -1062731753, 0, 0, 6, 0),
(220, 1215485115, 3, 2, 56, 1353393030, 0, 0, 6, 0),
(221, 1215485116, 2, 2, 0, -1062680265, 0, 0, 7, 0),
(222, 1215485119, 2, 2, 48, 1960993985, 0, 0, 7, 0),
(223, 1215485138, 2, 2, 103, 2057897579, 0, 0, 7, 0),
(224, 1215485157, 3, 2, 56, 1351128137, 1, 2, 6, 0),
(225, 1215485165, 2, 2, 108, 1460085433, 0, 0, 7, 0),
(226, 1215485167, 3, 2, 48, 2099289094, 0, 0, 6, 0),
(227, 1215485173, 2, 2, 161, 1295782402, 0, 0, 7, 0),
(228, 1215485189, 2, 1, 0, 178809704, 0, 0, 9, 22),
(229, 1215485204, 3, 2, 103, -578303504, 0, 0, 6, 0),
(230, 1215485211, 3, 2, 48, -630700122, 0, 0, 6, 0),
(231, 1215485216, 3, 2, 103, 1950638979, 0, 0, 6, 0),
(232, 1215485217, 3, 2, 185, 1442383923, 1, 2, 6, 0),
(233, 1215485235, 2, 2, 56, 1481424675, 0, 0, 7, 0),
(234, 1215485284, 2, 2, 185, 1505424554, 0, 0, 7, 0),
(235, 1215485287, 2, 3, 77, -651437837, 0, 0, 2, 15),
(236, 1215485288, 2, 3, 185, -1019820503, 0, 0, 2, 13),
(237, 1215485291, 4, 2, 225, 1094151473, 0, 0, 7, 0),
(238, 1215485293, 2, 2, 67, 1348945952, 0, 0, 7, 0),
(239, 1215485294, 2, 2, 67, 1403361330, 0, 0, 7, 0),
(240, 1215485295, 2, 3, 185, 1507770691, 0, 0, 2, 15),
(241, 1215485327, 2, 3, 185, 1435246487, 0, 0, 2, 13),
(242, 1215485330, 2, 3, 99, 1409331357, 0, 0, 2, 15),
(243, 1215485334, 1, 2, 0, -1062731760, 1, 2, 6, 0),
(244, 1215485339, 1, 2, 210, -904118539, 0, 0, 6, 0),
(245, 1215485348, 3, 2, 67, 1344155721, 0, 0, 6, 0),
(246, 1215485360, 2, 2, 67, 1361285813, 0, 0, 7, 0),
(247, 1215485371, 5, 2, 77, 1378536156, 0, 0, 6, 0),
(248, 1215485383, 2, 2, 67, 1429312267, 0, 0, 6, 0),
(249, 1215485387, 2, 2, 55, -1034995838, 0, 0, 7, 0),
(250, 1215485395, 2, 2, 108, 1459921372, 0, 0, 7, 0),
(251, 1215485399, 1, 2, 67, 1346035028, 1, 2, 6, 0),
(252, 1215485413, 2, 2, 185, 1406898306, 1, 2, 6, 0),
(253, 1215485418, 3, 2, 67, 1477348599, 0, 0, 6, 0),
(254, 1215485433, 3, 2, 48, -635690070, 0, 0, 6, 0),
(255, 1215485448, 2, 2, 67, 1501716160, 0, 0, 7, 0),
(256, 1215485456, 3, 2, 56, 1527609631, 0, 0, 6, 0),
(257, 1215485460, 2, 2, 173, -901438006, 0, 0, 7, 0),
(258, 1215485469, 2, 1, 185, -1012852411, 0, 0, 9, 50),
(259, 1215485475, 2, 2, 185, 1505681417, 0, 0, 6, 0),
(260, 1215485480, 2, 1, 185, 1546834216, 0, 0, 7, 21),
(261, 1215485496, 3, 2, 185, 1384926770, 0, 0, 6, 0),
(262, 1215485501, 2, 1, 185, 1565574922, 0, 0, 9, 51),
(263, 1215485501, 2, 1, 0, -1062726578, 0, 0, 9, 25),
(264, 1215485509, 3, 2, 100, -899864494, 1, 2, 6, 0),
(265, 1215485535, 2, 2, 38, 1119475781, 0, 0, 7, 0),
(266, 1215485549, 2, 2, 103, 2057409488, 1, 2, 6, 0),
(267, 1215485554, 2, 2, 67, 1306526880, 0, 0, 7, 0),
(268, 1215485561, 3, 2, 67, 1429671590, 0, 0, 6, 0),
(269, 1215485562, 3, 2, 67, 1361556147, 0, 0, 6, 0),
(270, 1215485563, 3, 2, 103, 996089434, 1, 4, 6, 0),
(271, 1215485565, 2, 2, 185, 1371759124, 0, 0, 7, 0),
(272, 1215485593, 3, 2, 67, 1344354617, 0, 0, 6, 0),
(273, 1215485602, 2, 2, 56, 1370351350, 0, 0, 7, 0),
(274, 1215485609, 3, 2, 56, 1304325751, 1, 3, 6, 0),
(275, 1215485612, 5, 4, 240, 689724655, 0, 0, 0, 0),
(276, 1215485614, 2, 2, 99, 1465983247, 0, 0, 7, 0),
(277, 1215485616, 3, 2, 185, 1357731439, 1, 2, 6, 0),
(278, 1215485622, 3, 2, 111, 1980970338, 0, 0, 6, 0),
(279, 1215485624, 3, 2, 48, -611627782, 0, 0, 6, 0),
(280, 1215485636, 3, 2, 210, 1999259424, 0, 0, 6, 0),
(281, 1215485641, 5, 1, 225, -819101813, 0, 0, 8, 54),
(282, 1215485649, 2, 3, 99, 1371003678, 0, 0, 2, 15),
(283, 1215485691, 2, 2, 185, 1307050279, 0, 0, 7, 0),
(284, 1215485702, 3, 2, 48, -611744419, 0, 0, 6, 0),
(285, 1215485704, 2, 3, 222, 1550902462, 0, 0, 2, 15),
(286, 1215485717, 2, 1, 122, -737296670, 0, 0, 9, 27),
(287, 1215485720, 3, 2, 103, 2057767723, 1, 2, 6, 0),
(288, 1215485724, 3, 2, 222, -1019157643, 1, 2, 6, 0),
(289, 1215485735, 3, 2, 67, 1395232985, 0, 0, 7, 0),
(290, 1215485743, 2, 2, 67, 1348958257, 0, 0, 7, 0),
(291, 1215485751, 3, 2, 67, 1395263909, 0, 0, 6, 0),
(292, 1215485785, 2, 3, 99, 1409516549, 0, 0, 2, 15),
(293, 1215485797, 2, 1, 0, -1062731548, 0, 0, 9, 50),
(294, 1215485798, 2, 3, 99, 1430412683, 0, 0, 2, 14),
(295, 1215485800, 3, 2, 217, 1432685286, 0, 0, 6, 0),
(296, 1215485804, 2, 2, 134, -992354522, 0, 0, 7, 0),
(297, 1215485814, 3, 2, 67, 1344473402, 0, 0, 6, 0),
(298, 1215485816, 3, 2, 103, 996338740, 0, 0, 6, 0),
(299, 1215485823, 3, 2, 0, -1062731643, 0, 0, 6, 0),
(300, 1215485824, 2, 1, 185, 1560261605, 0, 0, 9, 10),
(301, 1215485830, 3, 2, 22, 1369778529, 1, 3, 7, 0),
(302, 1215485840, 5, 2, 185, 1047924587, 0, 0, 5, 5),
(303, 1215485842, 3, 2, 56, 1437688440, 0, 0, 6, 0),
(304, 1215485843, 3, 2, 222, -649207930, 0, 0, 7, 0),
(305, 1215485863, 2, 2, 152, -911855891, 0, 0, 6, 0),
(306, 1215485864, 3, 2, 210, 2088329910, 1, 6, 6, 0),
(307, 1215485876, 3, 2, 67, 1395235491, 0, 0, 6, 0),
(308, 1215485885, 2, 2, 77, 1365639161, 0, 0, 7, 0),
(309, 1215485886, 3, 2, 48, -635697202, 0, 0, 6, 0),
(310, 1215485889, 2, 3, 43, 1507406981, 0, 0, 2, 15),
(311, 1215485921, 2, 2, 222, -1037294899, 0, 0, 7, 0),
(312, 1215485926, 3, 2, 77, 1544899581, 0, 0, 6, 0),
(313, 1215485927, 3, 2, 122, 1489820989, 1, 2, 6, 0),
(314, 1215485950, 1, 2, 16, 2077261718, 1, 2, 6, 0),
(315, 1215485955, 2, 2, 185, 1371796226, 0, 0, 7, 0),
(316, 1215485961, 2, 2, 210, -562343451, 0, 0, 7, 0),
(317, 1215485969, 3, 2, 222, -732499751, 0, 0, 6, 0),
(318, 1215485981, 3, 2, 103, 1001689827, 0, 0, 6, 0),
(319, 1215485995, 2, 2, 103, 2079277787, 1, 2, 6, 0),
(320, 1215486004, 3, 2, 0, -1067122442, 0, 0, 6, 0),
(321, 1215486010, 1, 1, 0, -1062731762, 0, 0, 9, 10),
(322, 1215486017, 2, 3, 56, 1528949746, 0, 0, 2, 14),
(323, 1215486022, 2, 2, 56, 1518808137, 0, 0, 7, 0),
(324, 1215486045, 3, 2, 56, 1370335060, 0, 0, 6, 0),
(325, 1215486052, 2, 2, 214, -993283999, 1, 3, 7, 0),
(326, 1215486055, 3, 2, 182, 1446967811, 1, 2, 6, 0),
(327, 1215486057, 2, 4, 18, 1434734850, 0, 0, 0, 0),
(328, 1215486064, 3, 2, 48, 1948183585, 0, 0, 6, 0),
(329, 1215486076, 3, 2, 217, 1432553920, 0, 0, 6, 0),
(330, 1215486083, 3, 2, 103, 996004151, 1, 2, 6, 0),
(331, 1215486088, 3, 2, 0, 168431395, 0, 0, 6, 0),
(332, 1215486090, 3, 2, 103, -589170246, 0, 0, 6, 0),
(333, 1215486100, 1, 2, 56, 1311825080, 0, 0, 6, 0),
(334, 1215486122, 3, 2, 48, 2032380276, 0, 0, 6, 0),
(335, 1215486127, 1, 2, 67, 1346035317, 1, 2, 6, 0),
(336, 1215486128, 3, 2, 67, 1395392788, 1, 3, 6, 0),
(337, 1215486131, 3, 2, 185, -641508060, 0, 0, 6, 0),
(338, 1215486131, 3, 2, 103, 2057848662, 1, 2, 6, 0),
(339, 1215486132, 2, 2, 99, 1409333870, 0, 0, 7, 0),
(340, 1215486148, 3, 2, 99, -736579196, 0, 0, 6, 0),
(341, 1215486148, 3, 2, 185, 1494516819, 1, 2, 6, 0),
(342, 1215486149, 1, 2, 0, 168101154, 1, 2, 5, 1),
(343, 1215486152, 5, 4, 166, -882780345, 0, 0, 0, 0),
(344, 1215486161, 3, 2, 185, 1360218430, 1, 4, 6, 0),
(345, 1215486180, 2, 3, 185, 1505682492, 0, 0, 2, 15),
(346, 1215486199, 4, 2, 185, 1388865078, 0, 0, 7, 0),
(347, 1215486202, 2, 1, 0, -1062731109, 0, 0, 9, 50),
(348, 1215486228, 2, 3, 185, 1372068970, 0, 0, 2, 15),
(349, 1215486231, 3, 2, 161, 1398074028, 0, 0, 6, 0),
